service_id,date,exception_type
50458-__1701-LAMJV,20260401,1
50458-__1702-LAMJV,20260401,1
50458-__1703-LAMJV,20260401,1
50458-__1704-LAMJV,20260401,1
50458-__1705-LAMJV,20260401,1
50458-__1706-LAMJV,20260401,1
50458-__1707-LAMJV,20260401,1
50458-__1708-LAMJV,20260401,1
50458-__1709-LAMJV,20260401,1
50464-__3001-LAMJV,20260401,1
50464-__3002-LAMJV,20260401,1
50464-__3003-LAMJV,20260401,1
50464-__3004-LAMJV,20260401,1
50464-__3005-LAMJV,20260401,1
50464-__3006-LAMJV,20260401,1
50464-__3007-LAMJV,20260401,1
50482-__3301-LAMJV,20260401,1
50482-__3302-LAMJV,20260401,1
50482-__3303-LAMJV,20260401,1
50482-__3304-LAMJV,20260401,1
50482-__3305-LAMJV,20260401,1
50482-__3306-LAMJV,20260401,1
50482-__3307-LAMJV,20260401,1
50482-__3308-LAMJV,20260401,1
50482-__3309-LAMJV,20260401,1
50482-__3310-LAMJV,20260401,1
50482-__3310-M,20260401,1
50482-__3311-LAMJV,20260401,1
50482-__3312-LAMJV,20260401,1
50482-__3313-LAMJV,20260401,1
50482-__3314-LAMJV,20260401,1
50482-__3315-M,20260401,1
50482-__3316-LAMJV,20260401,1
50484-__3401-LAMJV,20260401,1
50484-__3402-LAMJV,20260401,1
50484-__3403-LAMJV,20260401,1
50484-__3404-LAMJV,20260401,1
50484-__3405-LAMJV,20260401,1
50484-__3406-LAMJV,20260401,1
50484-__3407-LAMJV,20260401,1
50484-__3408-LAMJV,20260401,1
50484-__3409-LAMJV,20260401,1
50484-__3410-LAMJV,20260401,1
50484-__3411-LAMJV,20260401,1
50484-__3412-LAMJV,20260401,1
50484-__3413-M,20260401,1
50488-__3501-LAMJV,20260401,1
50488-__3502-LAMJV,20260401,1
50488-__3503-LAMJV,20260401,1
50488-__3504-LAMJV,20260401,1
50488-__3505-LAMJV,20260401,1
50488-__3506-LAMJV,20260401,1
50488-__3507-LAMJV,20260401,1
50488-__3508-LAMJV,20260401,1
50488-__3509-LAMJV,20260401,1
50488-__3510-LAMJV,20260401,1
50488-__3511-LAMJV,20260401,1
50488-__3512-LAMJV,20260401,1
50492-__3601-LAMJV,20260401,1
50492-__3602-LAMJV,20260401,1
50492-__3603-LAMJV,20260401,1
50492-__3604-LAMJV,20260401,1
50492-__3606-LAMJV,20260401,1
50496-__8901-LAMJV,20260401,1
50496-__8902-LAMJV,20260401,1
50496-__8903-LAMJV,20260401,1
50496-__8904-LAMJV,20260401,1
50496-__8905-LAMJV,20260401,1
50500-_C1201-LAMJV,20260401,1
50503-CITT01-LAMJV,20260401,1
50503-CITT02-LAMJV,20260401,1
50503-CITT03-LAMJV,20260401,1
50503-CITT04-LAMJV,20260401,1
50503-CITT05-LAMJV,20260401,1
50503-CITT06-LAMJV,20260401,1
50503-CITT07-LAMJV,20260401,1
50503-CITT08-LAMJV,20260401,1
50503-CITT09-LAMJV,20260401,1
50503-CITT10-LAMJV,20260401,1
50503-CITT11-LAMJV,20260401,1
50503-CITT12-LAMJV,20260401,1
50507-__L350-LAMJV,20260401,1
50507-__L351-LAMJV,20260401,1
50507-__L352-LAMJV,20260401,1
50507-__L353-LAMJV,20260401,1
50507-__L354-LAMJV,20260401,1
50507-__L355-LAMJV,20260401,1
50507-__L356-LAMJV,20260401,1
50507-__L357-LAMJV,20260401,1
50507-__L358-LAMJV,20260401,1
50507-__L359-LAMJV,20260401,1
50507-__L360-LAMJV,20260401,1
50507-__L361-LAMJV,20260401,1
50507-__L362-LAMJV,20260401,1
50507-__L363-LAMJV,20260401,1
50507-__L364-LAMJV,20260401,1
50507-__L365-LAMJV,20260401,1
50507-__L366-LAMJV,20260401,1
50507-__L367-LAMJV,20260401,1
50507-__L368-LAMJV,20260401,1
50507-__L369-LAMJV,20260401,1
50507-__L370-LAMJV,20260401,1
50507-__L371-LAMJV,20260401,1
50507-__L372-LAMJV,20260401,1
50511-__L450-LAMJV,20260401,1
50511-__L451-LAMJV,20260401,1
50511-__L452-LAMJV,20260401,1
50511-__L453-LAMJV,20260401,1
50511-__L454-LAMJV,20260401,1
50511-__L455-LAMJV,20260401,1
50511-__L456-LAMJV,20260401,1
50511-__L457-LAMJV,20260401,1
50511-__L458-LAMJV,20260401,1
50511-__L459-LAMJV,20260401,1
50511-__L460-LAMJV,20260401,1
50511-__L461-LAMJV,20260401,1
50511-__L462-LAMJV,20260401,1
50511-__L463-LAMJV,20260401,1
50511-__L464-LAMJV,20260401,1
50511-__L465-LAMJV,20260401,1
50511-__L466-LAMJV,20260401,1
50511-__L467-LAMJV,20260401,1
50511-__L468-LAMJV,20260401,1
50511-__L469-LAMJV,20260401,1
50511-__L470-LAMJV,20260401,1
50511-__L471-LAMJV,20260401,1
50511-__L472-LAMJV,20260401,1
50511-__L473-LAMJV,20260401,1
50511-__L474-LAMJV,20260401,1
50511-__L475-LAMJV,20260401,1
50511-__L476-LAMJV,20260401,1
50511-__L477-LAMJV,20260401,1
