route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible
82,50838-__8202-LAMJV,5331498,Tourcoing Pt De Neuville,0,,1
82,50838-__8203-LAMJV,5331506,Armentieres Armentieres Gare,1,,1
82,50838-__8218-M,5331524,Armentieres Armentieres Gare,1,,1
82,50838-__8226-LAMJV,5331540,Tourcoing Pt De Neuville,0,,1
905,50855-_90501-M,5332416,Tourcoing Pont Hydraulique,1,,1
907,50857-_90731-LAMJV,5332422,Marquette Lez Lille College Debeyre,0,,1
922,50871-_92201-M,5332512,Villeneuve D Ascq Flers Bourg,1,,1
922,50871-_92203-M,5332514,Villeneuve D Ascq Flers Bourg,1,,1
938,51810-_93801-M,5436820,Armentieres Armentieres Gare,0,,1
CITH,50903-CITH01-LAMJV,5332972,Halluin Hotel De Ville,0,,1
CITH,50903-CITH04-LAMJV,5332987,Halluin Hotel De Ville,0,,1
66,51923-__6608-LAMJV,5450727,Forest Sur Marque Eglise,0,,1
66,51923-__6614-LAMJV,5450749,Forest Sur Marque Eglise,0,,1
66,51923-__6625-LAMJV,5450784,Forest Sur Marque Eglise,0,,1
66,51923-__6634-LAMJV,5450793,Forest Sur Marque Eglise,0,,1
66,51923-__6617-LAMJV,5450755,Forest Sur Marque Eglise,0,,1
21R,51447-_21R34-LAMJV,5373211,Carnin Mairie,0,,1
25R,51977-_25R05-LAMJV,5468154,Illies Centre,1,,1
25R,51977-_25R41-LAMJV,5468190,Illies Centre,1,,1
27R,51465-_27R01-LAMJV,5373819,Armentieres Armentieres Gare,1,,1
28R,51468-_28R08-LAMJV,5373859,Illies Centre,0,,1
28R,51468-_28R14-LAMJV,5373865,Illies Centre,0,,1
69R,51490-_69R22-LAMJV,5374117,Sainghin En Melantois Cimetiere,1,,1
15,50702-__1502-LAMJV,5320417,Lesquin Verdun,0,,1
15,50702-__1502-LAMJV,5320421,Lesquin Verdun,0,,1
15,50702-__1504-LAMJV,5320444,Lesquin Verdun,0,,1
15,50702-__1504-LAMJV,5320452,Lesquin Verdun,0,,1
15,50702-__1509-LAMJV,5320499,Lesquin Verdun,0,,1
15,50702-__1509-LAMJV,5320501,Lesquin Verdun,0,,1
15,50702-__1511-LAMJV,5320527,Lesquin Verdun,0,,1
15,50702-__1512-LAMJV,5320534,Lesquin Verdun,0,,1
15,50702-__1514-LAMJV,5320554,Lesquin Verdun,0,,1
L6,51869-__L650-LAMJV,5444371,Villeneuve D Ascq Contrescarpe,0,,1
L6,51869-__L650-LAMJV,5444379,Villeneuve D Ascq Contrescarpe,0,,1
L6,51869-__L651-LAMJV,5444404,Villeneuve D Ascq Contrescarpe,0,,1
L6,51869-__L651-LAMJV,5444412,Villeneuve D Ascq Contrescarpe,0,,1
L6,51869-__L652-LAMJV,5444445,Villeneuve D Ascq Contrescarpe,0,,1
L6,51869-__L652-LAMJV,5444453,Villeneuve D Ascq Contrescarpe,0,,1
L6,51869-__L652-LAMJV,5444455,Villeneuve D Ascq Contrescarpe,0,,1
L6,51869-__L653-LAMJV,5444475,Villeneuve D Ascq Contrescarpe,0,,1
L6,51869-__L653-LAMJV,5444477,Villeneuve D Ascq Contrescarpe,0,,1
