route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
35,ILE,35,LIGNE 35,ROUBAIX EUROTELEPORT / TOURCOING CENTRE,3,,E84E0F,FFFFFF
907,ILE,907,LIGNE SCOLAIRE 907,GRAND ST ANDRE - COLLEGE DEBEYRE,3,,C8C8C8,000000
924,ILE,924,LIGNE SCOLAIRE 924,PRÉMESQUES/ LAMBERSART LYCÉE JEAN PERRIN,3,,C8C8C8,000000
938,ILE,938,LIGNE SCOLAIRE 938,DESSERTE COLLÈGE ROGER SALENGRO HOUPLINES,3,,C8C8C8,000000
10,ILE,10,LIGNE 10,LOMME HEGEL-CHU O LAMBRET/ LILLE FLANDRES,3,,007835,FFFFFF
20R,ILE,20R,LIGNE 20R,SOIRÉE RÉSA 4 CANTONS,3,,E7983E,FFFFFF
21R,ILE,21R,LIGNE 21R,SOIRÉE RÉSA CHU EURASANTÉ,3,,00ABE9,FFFFFF
22R,ILE,22R,LIGNE 22R,SOIRÉE RÉSA SAINT PHILIBERT,3,,D73742,FFFFFF
23R,ILE,23R,LIGNE 23R,SOIRÉE RÉSA EUROTÉLÉPORT,3,,C4D552,000000
24R,ILE,24R,LIGNE 24R,SOIRÉE RÉSA TOURCOING CENTRE,3,,F9D347,FFFFFF
25R,ILE,25R,LIGNE 25R,RÉSA HAUBOURDIN CHU,3,,D43933,FFFFFF
26R,ILE,26R,LIGNE 26R,RÉSA WILLEMS<>BAISIEUX,3,,71504E,FFFFFF
27R,ILE,27R,LIGNE 27R,QUESNOY<>ARMENTIÈRES,3,,3F6B43,FFFFFF
28R,ILE,28R,LIGNE 28R,RÉSA ILLIES<>DON SAINGHIN,3,,4B94CD,FFFFFF
29R,ILE,29R,LIGNE 29R,RÉSA AUBERS<>WAVRIN,3,,CE9CBE,FFFFFF
61R,ILE,61R,LIGNE 61R,RÉSA LA BASSÉE - DON - ST PHILIBERT,3,,9779B0,FFFFFF
62R,ILE,62R,LIGNE 62R,RÉSA ILLIES<>SAINT PHILIBERT,3,,95C11F,FFFFFF
64R,ILE,64R,LIGNE 64R,RÉSA LA BASSÉE<>ST PHILIBERT,3,,F39200,FFFFFF
65R,ILE,65R,LIGNE 65R,RÉSA ARMENTIÈRES - BOIS GRENIER<> ST PHI,3,,802E77,FFFFFF
69R,ILE,69R,LIGNE 69R,RÉSA FRETIN<>4 CANTONS,3,,F7E458,000000
70R,ILE,70R,LIGNE 70R,RÉSA NOYELLES<>VENDEVILLE,3,,E69741,FFFFFF
74R,ILE,74R,LIGNE 74R,RÉSA LA BASSÉE<>ARMENTIÈRES,3,,F6CC50,000000
75R,ILE,75R,LIGNE 75R,RÉSA COMINES<>ST PHILIBERT,3,,86BC56,FFFFFF
76R,ILE,76R,LIGNE 76R,RÉSA DIMANCHE QUESNOY<>ST PHI,3,,7D1811,FFFFFF
77R,ILE,77R,LIGNE 77R,RÉSA MARQUETTE,3,,353838,FFFFFF
82R,ILE,82R,LIGNE 82R,RÉSA DIMANCHE ARMENTIÈRES<>TOURCOING,3,,F39200,FFFFFF
L6,ILE,L6,LIANE 6,FORT DE MONS / V D'ASCQ CONTRESCARPE,3,,004F9F,FFFFFF
L7,ILE,L7,LIANE 7,LILLE PORTE DES POSTES /  FACHES C CIAL,3,,003770,FFFFFF
L8,ILE,L8,LIANE 8,HEM BLANCHISSERIE / TG RISQUONS TOUT,3,,0080C9,FFFFFF
